Feature,Importance
booking_amount,0.10908297479924026
discount_amount,0.09622363385867415
booking_day,0.09095344721934566
age,0.08882761344934365
booking_month,0.06859941743804854
trip_duration_days,0.06322893054361106
travel_month,0.059964404381609944
destination,0.042462715424040114
country,0.04137154911647652
registration_year,0.03976433366381232
state,0.03975884278244053
city,0.03974278577272249
agent_name,0.03710454550547461
quantity,0.03690373761760562
preferred_destination,0.03424801989738591
package_type,0.024886399394628625
payment_method,0.024548534520402364
loyalty_tier,0.02256387959760906
booking_channel,0.022120557041675735
customer_type,0.017643677975852857
